"booking_id","origin","destination","travel_date","booking_date","days_in_advance","departure_hour","time_bucket","day_of_week","is_weekend","is_holiday","season","seat_class","total_seats","seats_booked","occupancy_rate","base_fare","season_mult","dow_mult","advance_mult","occupancy_mult","time_mult","holiday_mult","dynamic_fare","competitor_fare","demand_score","revenue"
"BK0506","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-03,2024-08-13,21,10,"Morning","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,11,0.275,545,0.985,1.035,0.893,0.797,0.991,1,390,370,35.4,4290
"BK0545","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-03,2024-08-18,16,20,"Evening","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,15,0.375,545,0.99,1.042,0.823,0.943,1.132,1,495,470,35.4,7425
"BK0727","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-03,2024-08-13,21,20,"Evening","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,36,0.9,1020,0.981,0.971,0.84,1.427,1.2,1,1400,1440,57.7,50400
"BK0771","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-03,2024-08-19,15,10,"Morning","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,16,0.4,1020,0.988,0.973,0.879,0.972,1.02,1,855,815,38.1,13680
"BK1108","MADURAI","TRICHY",2024-09-03,2024-08-23,11,19,"Evening","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,13,0.325,220,1.043,1.014,0.957,0.972,1.141,1,245,260,36.6,3185
"BK1262","NAGERCOIL","MADURAI",2024-09-03,2024-08-14,20,19,"Evening","Tuesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,26,0.65,420,1.005,1.029,0.847,1.141,1.172,1,490,490,46.2,12740
"BK1304","NAGERCOIL","TIRUNELVELI",2024-09-03,2024-08-22,12,6,"Early Morning","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,21,0.525,145,1.039,1.031,0.962,1.08,0.913,1,145,140,44.7,3045
"BK1337","NAGERCOIL","TIRUNELVELI",2024-09-03,2024-09-02,1,14,"Afternoon","Tuesday",FALSE,FALSE,"Normal","Seater",40,10,0.25,145,1.034,0.969,1.389,0.78,0.96,1,150,160,30.8,1500
"BK1502","THANJAVUR","TRICHY",2024-09-03,2024-09-03,0,21,"Night","Tuesday",FALSE,FALSE,"Normal","Seater",40,31,0.775,120,0.955,1.046,1.41,1.214,1.087,1,225,225,52.6,6975
"BK1571","THANJAVUR","TRICHY",2024-09-03,2024-08-22,12,7,"Early Morning","Tuesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,29,0.725,120,1.032,0.984,0.929,1.098,0.941,1,115,115,53.8,3335
"BK1625","TIRUCHENDUR","MADURAI",2024-09-03,2024-08-28,6,5,"Early Morning","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,36,0.9,320,0.979,0.989,1.059,1.471,0.944,1,455,465,59.5,16380
"BK1757","TIRUCHENDUR","TRICHY",2024-09-03,2024-08-12,22,8,"Early Morning","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,28,0.7,535,1.033,1.045,0.834,1.074,0.96,1,495,460,48.3,13860
"BK2063","TIRUPPUR","SALEM",2024-09-03,2024-08-26,8,14,"Afternoon","Tuesday",FALSE,FALSE,"Normal","Sleeper",40,25,0.625,210,0.954,1.009,0.939,1.044,1.026,1,205,195,45.7,5125
"BK0045","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-04,2024-08-23,12,8,"Early Morning","Wednesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,30,0.75,680,1.041,0.953,0.927,1.285,0.923,1,740,795,50.2,22200
"BK0204","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-09-04,2024-08-29,6,19,"Evening","Wednesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,12,0.3,740,1.023,1.032,1.054,0.902,1.153,1,855,835,33.2,10260
"BK0207","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-09-04,2024-08-27,8,18,"Evening","Wednesday",FALSE,FALSE,"Normal","Sleeper",40,26,0.65,740,1.042,1.026,0.952,1.057,1.187,1,945,955,48.4,24570
"BK0352","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-09-04,2024-08-31,4,7,"Early Morning","Wednesday",FALSE,FALSE,"Normal","Sleeper",40,29,0.725,1145,0.965,0.98,1.043,1.106,0.918,1,1145,1205,50.4,33205
"BK0743","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-04,2024-08-11,24,19,"Evening","Wednesday",FALSE,FALSE,"Normal","Sleeper",40,26,0.65,1020,0.956,0.987,0.823,1.08,1.159,1,990,1035,46.6,25740
"BK1000","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-04,2024-08-28,7,19,"Evening","Wednesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,36,0.9,530,1.035,1.004,1.017,1.384,1.162,1,900,870,59.9,32400
"BK1065","COIMBATORE","SALEM",2024-09-04,2024-08-28,7,18,"Evening","Wednesday",FALSE,FALSE,"Normal","Sleeper",40,13,0.325,295,0.974,1.004,1.076,0.965,1.192,1,355,375,34.3,4615
"BK1366","NAGERCOIL","TIRUNELVELI",2024-09-04,2024-08-28,7,18,"Evening","Wednesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,35,0.875,145,0.996,0.984,1.079,1.271,1.148,1,225,215,58.7,7875
"BK1417","NAGERCOIL","TRICHY",2024-09-04,2024-08-23,12,17,"Evening","Wednesday",FALSE,FALSE,"Normal","Seater",40,17,0.425,650,0.952,1.034,0.981,0.905,1.161,1,660,680,39,11220
"BK1731","TIRUCHENDUR","TRICHY",2024-09-04,2024-08-25,10,17,"Evening","Wednesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,19,0.475,535,1.034,0.973,0.99,0.92,1.164,1,570,525,40.3,10830
"BK1811","TIRUNELVELI","MADURAI",2024-09-04,2024-09-04,0,17,"Evening","Wednesday",FALSE,FALSE,"Normal","Semi-Sleeper",40,27,0.675,280,0.979,0.966,1.353,1.131,1.129,1,455,420,50.6,12285
"BK1903","TIRUNELVELI","TRICHY",2024-09-04,2024-08-30,5,21,"Night","Wednesday",FALSE,FALSE,"Normal","Sleeper",40,27,0.675,510,0.95,1.014,1.063,1.111,1.047,1,610,565,47.7,16470
"BK0026","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-05,2024-08-21,15,7,"Early Morning","Thursday",FALSE,FALSE,"Normal","Sleeper",40,18,0.45,680,1.039,1.039,0.857,0.996,0.919,1,575,605,38.1,10350
"BK0062","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-05,2024-08-21,15,14,"Afternoon","Thursday",FALSE,FALSE,"Normal","Semi-Sleeper",40,34,0.85,680,0.999,1.031,0.806,1.239,1,1,700,750,55.3,23800
"BK0497","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-09-05,2024-08-08,28,18,"Evening","Thursday",FALSE,FALSE,"Normal","Sleeper",40,34,0.85,535,0.995,1.003,0.888,1.237,1.103,1,645,600,58.4,21930
"BK0551","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-05,2024-08-20,16,22,"Night","Thursday",FALSE,FALSE,"Normal","Sleeper",40,13,0.325,545,0.994,1.03,0.821,0.975,1.067,1,475,485,33.9,6175
"BK0793","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-05,2024-08-27,9,10,"Morning","Thursday",FALSE,FALSE,"Normal","Sleeper",40,10,0.25,1020,1.013,1.004,0.908,0.828,1.05,1,820,785,30.8,8200
"BK0794","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-05,2024-08-12,24,22,"Night","Thursday",FALSE,FALSE,"Normal","Semi-Sleeper",40,27,0.675,1020,1.041,0.988,0.864,1.092,1.04,1,1030,1095,51.3,27810
"BK0800","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-05,2024-08-17,19,19,"Evening","Thursday",FALSE,FALSE,"Normal","Sleeper",40,36,0.9,1020,0.984,1.016,0.814,1.363,1.111,1,1255,1315,56.8,45180
"BK0889","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-09-05,2024-08-26,10,8,"Early Morning","Thursday",FALSE,FALSE,"Normal","Seater",40,38,0.95,750,0.955,1.033,0.977,1.334,0.961,1,925,855,58.2,35150
"BK0972","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-05,2024-08-31,5,21,"Night","Thursday",FALSE,FALSE,"Normal","Semi-Sleeper",40,28,0.7,530,1.04,0.961,1.03,1.096,1.08,1,645,695,51.5,18060
"BK1207","NAGERCOIL","MADURAI",2024-09-05,2024-08-23,13,22,"Night","Thursday",FALSE,FALSE,"Normal","Sleeper",40,39,0.975,420,1.047,0.973,0.939,1.318,1.059,1,560,575,59.4,21840
"BK1284","NAGERCOIL","MADURAI",2024-09-05,2024-09-03,2,18,"Evening","Thursday",FALSE,FALSE,"Normal","Seater",40,12,0.3,420,1.02,0.955,1.128,0.921,1.17,1,495,505,35.5,5940
"BK1406","NAGERCOIL","TRICHY",2024-09-05,2024-08-19,17,19,"Evening","Thursday",FALSE,FALSE,"Normal","Sleeper",40,27,0.675,650,1.016,0.953,0.84,1.045,1.157,1,640,600,49.8,17280
"BK1512","THANJAVUR","TRICHY",2024-09-05,2024-09-04,1,19,"Evening","Thursday",FALSE,FALSE,"Normal","Sleeper",40,39,0.975,120,0.978,1.023,1.491,1.455,1.136,1,295,290,62.6,11505
"BK1519","THANJAVUR","TRICHY",2024-09-05,2024-09-03,2,5,"Early Morning","Thursday",FALSE,FALSE,"Normal","Semi-Sleeper",40,38,0.95,120,1.044,1.042,1.211,1.418,0.894,1,200,185,58.8,7600
"BK1530","THANJAVUR","TRICHY",2024-09-05,2024-08-18,18,19,"Evening","Thursday",FALSE,FALSE,"Normal","Semi-Sleeper",40,14,0.35,120,0.994,1.031,0.917,0.935,1.162,1,125,130,38.9,1750
"BK1722","TIRUCHENDUR","TRICHY",2024-09-05,2024-09-05,0,19,"Evening","Thursday",FALSE,FALSE,"Normal","Sleeper",40,19,0.475,535,0.982,0.978,1.436,0.901,1.116,1,740,680,41.2,14060
"BK0051","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-06,2024-08-14,23,22,"Night","Friday",FALSE,FALSE,"Normal","Sleeper",40,19,0.475,680,0.963,1.115,0.915,0.907,1.079,1,655,630,52.6,12445
"BK0140","CHENNAI KILAMBAKKAM KCBT","COIMBATORE",2024-09-06,2024-09-03,3,21,"Night","Friday",FALSE,FALSE,"Normal","Sleeper",40,13,0.325,825,0.987,1.075,1.119,0.998,1.036,1,1010,1060,45.8,13130
"BK0208","CHENNAI KILAMBAKKAM KCBT","MADURAI",2024-09-06,2024-08-28,9,22,"Night","Friday",FALSE,FALSE,"Normal","Sleeper",40,26,0.65,740,0.974,1.059,0.98,1.146,1.064,1,910,855,60.6,23660
"BK0491","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-09-06,2024-08-25,12,8,"Early Morning","Friday",FALSE,FALSE,"Normal","Semi-Sleeper",40,35,0.875,535,0.996,1.117,0.977,1.289,0.935,1,700,670,68.2,24500
"BK0527","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-06,2024-08-19,18,22,"Night","Friday",FALSE,FALSE,"Normal","Sleeper",40,25,0.625,545,0.997,1.072,0.904,1.049,1.016,1,560,525,58.2,14000
"BK0738","CHENNAI KILAMBAKKAM KCBT","TIRUNELVELI",2024-09-06,2024-08-21,16,18,"Evening","Friday",FALSE,FALSE,"Normal","Sleeper",40,24,0.6,1020,1.013,1.085,0.887,1.041,1.156,1,1195,1185,56.1,28680
"BK0874","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-09-06,2024-09-02,4,19,"Evening","Friday",FALSE,FALSE,"Normal","Seater",40,35,0.875,750,0.969,1.108,1.098,1.152,1.183,1,1205,1145,67.4,42175
"BK0965","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-06,2024-08-29,8,21,"Night","Friday",FALSE,FALSE,"Normal","Semi-Sleeper",40,28,0.7,530,1.032,1.148,0.963,1.054,1.01,1,645,645,62,18060
"BK1049","COIMBATORE","SALEM",2024-09-06,2024-08-30,7,19,"Evening","Friday",FALSE,FALSE,"Normal","Sleeper",40,24,0.6,295,1.022,1.143,1.059,1.071,1.138,1,445,455,56.5,10680
"BK1121","MADURAI","TRICHY",2024-09-06,2024-08-15,22,18,"Evening","Friday",FALSE,FALSE,"Normal","Seater",40,22,0.55,220,1.024,1.089,0.818,1.147,1.135,1,260,250,53.5,5720
"BK1139","MADURAI","TRICHY",2024-09-06,2024-08-10,27,7,"Early Morning","Friday",FALSE,FALSE,"Normal","Semi-Sleeper",40,33,0.825,220,1.05,1.085,0.904,1.164,0.892,1,235,220,64.7,7755
"BK1176","MADURAI","TRICHY",2024-09-06,2024-08-07,30,22,"Night","Friday",FALSE,FALSE,"Normal","Sleeper",40,18,0.45,220,0.978,1.067,0.802,0.913,1.068,1,180,175,49.5,3240
"BK1225","NAGERCOIL","MADURAI",2024-09-06,2024-08-09,28,5,"Early Morning","Friday",FALSE,FALSE,"Normal","Sleeper",40,14,0.35,420,1.049,1.139,0.829,0.903,0.958,1,360,330,45.7,5040
"BK1437","NAGERCOIL","TRICHY",2024-09-06,2024-09-01,5,18,"Evening","Friday",FALSE,FALSE,"Normal","Sleeper",40,32,0.8,650,0.972,1.059,1.055,1.257,1.139,1,1010,1000,62,32320
"BK1466","NAGERCOIL","TRICHY",2024-09-06,2024-08-12,25,19,"Evening","Friday",FALSE,FALSE,"Normal","Sleeper",40,12,0.3,650,0.952,1.083,0.859,0.941,1.158,1,625,635,45.7,7500
"BK1520","THANJAVUR","TRICHY",2024-09-06,2024-08-15,22,8,"Early Morning","Friday",FALSE,FALSE,"Normal","Sleeper",40,23,0.575,120,0.98,1.132,0.917,1.111,0.939,1,125,135,54.1,2875
"BK1648","TIRUCHENDUR","MADURAI",2024-09-06,2024-09-06,0,17,"Evening","Friday",FALSE,FALSE,"Normal","Sleeper",40,35,0.875,320,1.026,1.106,1.451,1.209,1.192,1,760,705,67.7,26600
"BK0435","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-09-07,2024-08-31,7,18,"Evening","Saturday",TRUE,FALSE,"Normal","Sleeper",40,32,0.8,535,0.999,1.187,1.025,1.236,1.194,1,960,1020,66.3,30720
"BK0464","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-09-07,2024-09-06,1,18,"Evening","Saturday",TRUE,FALSE,"Normal","Semi-Sleeper",40,30,0.75,535,1.028,1.132,1.399,1.175,1.165,1,1195,1135,62.8,35850
"BK0469","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-09-07,2024-08-26,12,17,"Evening","Saturday",TRUE,FALSE,"Normal","Semi-Sleeper",40,29,0.725,535,1.003,1.157,0.974,1.09,1.19,1,785,815,59.1,22765
"BK1637","TIRUCHENDUR","MADURAI",2024-09-07,2024-09-04,3,18,"Evening","Saturday",TRUE,FALSE,"Normal","Sleeper",40,28,0.7,320,1.048,1.109,1.146,1.061,1.106,1,500,530,61.1,14000
"BK1795","TIRUCHENDUR","TRICHY",2024-09-07,2024-08-22,16,20,"Evening","Saturday",TRUE,FALSE,"Normal","Semi-Sleeper",40,37,0.925,535,1.036,1.12,0.82,1.451,1.122,1,830,885,67.8,30710
"BK1829","TIRUNELVELI","MADURAI",2024-09-07,2024-09-05,2,18,"Evening","Saturday",TRUE,FALSE,"Normal","Sleeper",40,14,0.35,280,0.963,1.189,1.23,0.901,1.113,1,395,425,46.9,5530
"BK0426","CHENNAI KILAMBAKKAM KCBT","SALEM",2024-09-08,2024-09-04,4,17,"Evening","Sunday",TRUE,FALSE,"Normal","Sleeper",40,33,0.825,535,0.973,1.162,1.013,1.171,1.148,1,825,885,67.4,27225
"BK0890","CHENNAI KILAMBAKKAM KCBT","TIRUPPUR",2024-09-08,2024-08-27,12,10,"Morning","Sunday",TRUE,FALSE,"Normal","Seater",40,38,0.95,750,1.019,1.142,0.914,1.48,1.01,1,1195,1205,69.1,45410
"BK1061","COIMBATORE","SALEM",2024-09-08,2024-08-28,11,22,"Night","Sunday",TRUE,FALSE,"Normal","Sleeper",40,24,0.6,295,0.998,1.172,0.93,1.046,1.027,1,345,325,59,8280
"BK1076","COIMBATORE","SALEM",2024-09-08,2024-08-29,10,7,"Early Morning","Sunday",TRUE,FALSE,"Normal","Semi-Sleeper",40,24,0.6,295,1.018,1.171,0.947,1.096,0.952,1,345,325,56.3,8280
"BK1405","NAGERCOIL","TRICHY",2024-09-08,2024-09-03,5,22,"Night","Sunday",TRUE,FALSE,"Normal","Semi-Sleeper",40,28,0.7,650,1.022,1.177,1.063,1.006,1.015,1,850,825,61.4,23800
"BK1480","NAGERCOIL","TRICHY",2024-09-08,2024-09-07,1,19,"Evening","Sunday",TRUE,FALSE,"Normal","Semi-Sleeper",40,25,0.625,650,1.025,1.183,1.458,1.077,1.147,1,1420,1330,56.4,35500
"BK1513","THANJAVUR","TRICHY",2024-09-08,2024-09-05,3,6,"Early Morning","Sunday",TRUE,FALSE,"Normal","Sleeper",40,19,0.475,120,1.02,1.183,1.147,0.951,0.939,1,150,160,53.6,2850
"BK1581","THANJAVUR","TRICHY",2024-09-08,2024-08-27,12,19,"Evening","Sunday",TRUE,FALSE,"Normal","Semi-Sleeper",40,11,0.275,120,1.025,1.146,0.947,0.899,1.144,1,135,145,43,1485
"BK1901","TIRUNELVELI","TRICHY",2024-09-08,2024-08-11,28,19,"Evening","Sunday",TRUE,FALSE,"Normal","Seater",40,33,0.825,510,1.022,1.146,0.8,1.285,1.146,1,705,695,67.4,23265
"BK1999","TIRUNELVELI","TRICHY",2024-09-08,2024-08-16,23,21,"Night","Sunday",TRUE,FALSE,"Normal","Sleeper",40,22,0.55,510,1.019,1.156,0.812,1.067,1.097,1,570,530,56.3,12540
"BK0070","BENGALURU","CHENNAI KILAMBAKKAM KCBT",2024-09-09,2024-08-23,17,19,"Evening","Monday",FALSE,FALSE,"Normal","Sleeper",40,36,0.9,680,1.002,1.028,0.824,1.338,1.14,1,880,905,59.1,31680
"BK0304","CHENNAI KILAMBAKKAM KCBT","NAGERCOIL",2024-09-09,2024-08-28,12,19,"Evening","Monday",FALSE,FALSE,"Normal","Seater",40,10,0.25,1145,1.034,1.012,0.963,0.82,1.14,1,1080,1065,33.6,10800
"BK0554","CHENNAI KILAMBAKKAM KCBT","THANJAVUR",2024-09-09,2024-08-31,9,17,"Evening","Monday",FALSE,FALSE,"Normal","Seater",40,15,0.375,545,1.044,0.988,0.978,0.949,1.104,1,575,620,39.2,8625
"BK0658","CHENNAI KILAMBAKKAM KCBT","TIRUCHENDUR",2024-09-09,2024-08-16,24,17,"Evening","Monday",FALSE,FALSE,"Normal","Sleeper",40,30,0.75,1050,1.049,0.958,0.827,1.254,1.134,1,1240,1145,51.5,37200
"BK0909","CHENNAI KILAMBAKKAM KCBT","TRICHY",2024-09-09,2024-08-28,12,6,"Early Morning","Monday",FALSE,FALSE,"Normal","Sleeper",40,35,0.875,530,0.972,0.962,0.922,1.209,0.909,1,500,530,57.3,17500
"BK1006","COIMBATORE","SALEM",2024-09-09,2024-09-07,2,17,"Evening","Monday",FALSE,FALSE,"Normal","Sleeper",40,28,0.7,295,0.983,0.987,1.151,1.113,1.167,1,430,430,52.7,12040
"BK1082","COIMBATORE","SALEM",2024-09-09,2024-08-10,30,5,"Early Morning","Monday",FALSE,FALSE,"Normal","Sleeper",40,14,0.35,295,0.987,0.953,0.814,0.937,0.919,1,195,190,35.3,2730
"BK1146","MADURAI","TRICHY",2024-09-09,2024-08-31,9,14,"Afternoon","Monday",FALSE,FALSE,"Normal","Sleeper",40,37,0.925,220,1.037,1.002,0.928,1.491,0.982,1,310,315,61.1,11470
"BK1312","NAGERCOIL","TIRUNELVELI",2024-09-09,2024-09-01,8,21,"Night","Monday",FALSE,FALSE,"Normal","Sleeper",40,35,0.875,145,1.009,1.029,0.972,1.153,1.022,1,170,180,56.1,5950
"BK1330","NAGERCOIL","TIRUNELVELI",2024-09-09,2024-08-30,10,19,"Evening","Monday",FALSE,FALSE,"Normal","Seater",40,28,0.7,145,1.042,1.046,0.988,1.093,1.174,1,200,185,50.6,5600
